ecoregionGroup,speciesCode,establishprob,maxB,maxANPP,year
1_03,Abie_sp,1,8567,285,1
1_03,Pice_eng,0.983,10156,305,1
1_03,Popu_sp,0.737,8794,293,1
1_03,Pseu_men,1,17534,132,1
1_09,Abie_sp,0.112,1499,50,1
1_09,Pice_gla,0.302,3143,102,1
1_09,Pinu_sp,0.714,2569,86,1
1_09,Popu_sp,0.607,3292,110,1
1_09,Pseu_men,0.997,6020,45,1
1_03,Abie_sp,0.989,8943,225,2
1_03,Pice_eng,0.985,9000,315,2
1_03,Popu_sp,0.6,8600,273,2
1_03,Pseu_men,1,13534,142,2
1_09,Abie_sp,0.293,2099,45,2
1_09,Pice_gla,0.745,3643,90,2
1_09,Pinu_sp,0.5,2569,80,2
1_09,Popu_sp,0.67,3262,111,2
1_09,Pseu_men,1,6300,43,2
